id,Company name,contact_firstname,contact_lastname,email,phone_number,direct,business_activity,deleted,user_id,created_at,updated_at,Script,response,call_answering,voicemail,,
1,DAVIS FINANCIAL LTD ,NULL,NULL,Info@davisfinancial.co.uk ,0203 195 3808,0204 599 9515,NULL,0,0,NULL,NULL,"DAVIS FINANCIAL LTD  0203 195 3808 ycf
  


Greeting:  Welcome to (Davis Financial), how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: ( Landlord Insurance, Home Insurance, Home Contents Insurance 

Names: (No names needed   


E-mail address Info@davisfinancial.co.uk ",NULL,1,1,YCF,
2,PERALABS LTD,NULL,NULL,halil.agin@peralabs.co.uk,0203 195 3809,0204 599 9516,NULL,0,0,NULL,NULL,Greets:  Good Morning/ afternoon    PERALABS LTD     How may I help you? Action:     All lines are busy at present can I take a message?? Please take their Name. Tel Number.  and say we will get someone to call you back as soon as possible. Activity:   IT Consultancy   My Daily rate is Â£500-600.Name:   Halil Agin   Email:    halil.agin@peralabs.co.uk,NULL,1,1,CO,
3,TROJAN LIFTS  ,redirect to ,NULL,redirected to 07901818014,0203 195 3810,0204 599 9517,NULL,0,0,NULL,NULL,0,NULL,1,1,CO,
4,SECURITY ADVANCED SERVICES LIMITED,NULL,NULL,info@thesasteam.com,0203 195 3811,0204 599 9518,NULL,0,0,NULL,NULL,Good Morning /Afternoon:   SECURITY ADVANCED SERVICES   How may I help                                              Action:  LISTEN TO CALL CALLER & SAY  PLEASE HOLD WHILE I PUT YOU THRU TO  WILLIAM   07946105635                                        MAKE SURE YOU HAVE  THE CALLERS DETAILS  & ANNOUNCE WHO'S CALLING & WHERE FROM   ***  If William is unable to  take the call  go back to caller & say he is in a meeting  and can i check i have your Name & Tel number correctly also check the speliing and email all the details to William Name(s):   William Allen          Email:     info@thesasteam.com,NULL,1,1,CO,
5,ASTRA GLOBAL SERVICES Ltd,NULL,NULL,rkchelle@gmail.com,0203 195 3812,0204 599 9519,NULL,0,0,NULL,NULL,"www.astra-global.com - (ASTRA GLOBAL 0203 195 3812) 
Hello take message and email client  Name: Prakash Pithani

rkchelle@gmail.com
www.astra-global.com",NULL,1,1,CO,
6,FPR (UK) Limited,NULL,NULL,edward@fpr.uk.com,0203 195 3813,0204 599 9520,NULL,0,0,NULL,NULL,"Greets :     Good Morning/ afternoon  FPR UK   How may I help you? Action:      Unfortunately no-one can take your call at the moment, but please leave your name, telephone number and a message and someone will get back to you as soon as possible. Thank you for calling.Activity:       Stone cleaning and restoration of external facades. Main clients are building owners, surveyors and main contractors.Name(s):      Edward Foster     Email:           edward@fpr.uk.com ",NULL,1,1,CO,
7,Pyroplast Energy Limited/Clean Planet Energy Limited,NULL,NULL,reception@cleanplanetenergy.com,0203 195 3814,0204 599 9521,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:  Pyroplast Energy   How may I help.TELL CALLERS THIS COMPANY HAS NOTHING TO DO WITH BATTERY SYSTEMS  ALSO has  nothing to do with  (85 PCH  or  Premium Cooling and Heating Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Activity:     Launching a recycling a plant that takes plastic that cannot be recycled and turns it into a form of Diesel that does not have any pollutants/ emissions Names: below they may ask for :Bertie Stephens - CEODr. Andrew Odjo - CTOAdel Louertatani - Founder  Email:   reception@cleanplanetenergy.com",NULL,1,1,CO,
8,Not working ,,,0,0203 195 3815,,,,,,,0,,1,1,YCF,
9,Poster Girl,NULL,NULL,Info@postergal.co.uk,0203 195 3816,0204 599 9522,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:    POSTER GIRL   How may I help                                              Action:    All lines are busy at the moment.  Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:      At Poster Gal, we offer high-quality artwork in picture frames and on canvasses in many different sizes and designs. and around ",NULL,1,1,CO,
10,QUAQOO LTD,NULL,NULL,"zoe_pel@yahoo.com
",0203 195 3817,0204 599 9523,NULL,0,0,NULL,NULL,"42220 (Construction of utility projects for electricity and telecommunications)

 43999 (Other specialised construction activities n.e.c.)

 61100 (Wired telecommunications activities)

 62020 (Information technology consultancy activities)",NULL,1,1,YCF,
11,OOBE Global Group Ltd,NULL,NULL,info@oobegroup.com ,0203 195 3818,0204 599 9524,NULL,0,0,NULL,NULL,"Business Name: OOBE Global Group ltd
E-mail address: info@oobegroup.com  
 
 
Greeting:  Welcome to OOBE Global Group, how can I help you?
Response: I am afraid there is no one available to take your call right now, can I take your details and get someone to call you back shortly? (OR customers own Response)
Business Activity: Production, Design and Communication for live events, festivals, concerts and corporates. 
Names: Paolo Gaddari - Gary Newland - Anacleto Papa - Pete Fearn 
E-mail address: info@oobegroup.com",NULL,1,1,CO,
12,Vox Securitas Ltd,NULL,NULL,martin.gillard@voxdatavista.com,0203 195 3819,0204 599 9525,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:   VOX SECURITAS  How may I help.Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number, Email address they will call back once they are free Activity:       We are a data privacy software and consultancy company. Price varies from ",NULL,1,1,CO,
13,H2O SECURITIES PLC,NULL,NULL,julius@steyn.co,0203 195 3820,0204 599 9526,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   H2O SECURITIES   How may I help                                              Action:    All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:      Our company consults on and finances water infrastructure projects. Our clients are governments and large corporationsNames:       Julius  Steyn       Email:      julius@steyn.co",NULL,1,1,CO,
14,Spare995,,,0,0203 195 3821,,,,,,,0,,1,1,YCF,
15,BRISTCO ABE LTD.,NULL,NULL,wardhanahalking@gmail.com,0203 195 3822,0204 599 9527,NULL,0,0,NULL,NULL,Export & Import technical products and raw material for industrial,NULL,1,1,YCF,
16,CANDELA & CO LTD,NULL,NULL,Courtney@Candelaco.co.uk,0203 195 3823,0204 599 9528,NULL,0,0,NULL,NULL,"17220 (Manufacture of household and sanitary goods and of toilet requisites)

 20411 (Manufacture of soap and detergents)

 20420 (Manufacture of perfumes and toilet preparations)

 20530 (Manufacture of essential oils)",NULL,1,1,YCF,
17,Auxesis Infotech Pvt Ltd.,NULL,NULL,aritrag@auxesisinfotech.com,0203 195 3824,0204 599 9529,NULL,0,0,NULL,NULL,"Auxesis Infotech Pvt Ltd.  (0203 195 3824)   CO Client 

TELL CALLERS NO LONGER ON THIS NUMBER ",NULL,1,1,CO,
18,Rienzi Technologies Limited,NULL,NULL,kevins@rienzitech.com,0203 195 3825,0204 599 9530,NULL,0,0,NULL,NULL,"Greets :     Good Morning/ Afternoon  RIENZI  TECHNOLOGIES  How may I help you? Action:     All lines are busy at the moment can I take your name, Tel. numberand they will call back once they are free?   Activity:       We provide useful business productivity tools that are configurable, simple to use and excellent value. ICALA is our own flagship business application that is intuitive, visual and enhances operations. INDAWO is a sales analysis and geo-spacial mapping tool. We will start by growing of Distillery client base and then move to SHEQ.Name(s):       Kevin Strudwick     Email:              kevins@rienzitech.com",NULL,1,1,CO,
19,DAILY MEDICS,NULL,NULL,manaretoto@gmail.com,0203 195 3826,0204 599 9531,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:  DAILY MEDICS   How may I help                                               Action:    All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:   Recruitment agency - NHS services, GP surgeries, doctors, pharmacists, paramedics and nurseplacing healthcare professionals within NHS and other private healthcare settings, costing at ",NULL,1,1,CO,
20,The Association of Professional Compliance Consultants APCC,NULL,NULL,membership@apcc.org.uk,0203 195 3827,0204 599 9532,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:    The Association of Professional Compliance Consultants   How may I help.Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Activity:       The APCC is a tradebody association for compliance consultants who advise regulated firms in the UK. The APCC is active in enhancing the professional standards of compliance consultants and is recognised as a trade body by the FCA and other regulators. This provides our members with significant benefits in terms of direct access to the Regulators as well as business leads.  The APCC often works in conjunction with the FCA to pilot or test new initiatives, and we also provide with valuable feedback on specific subjects as requested by them. Name:    Bev Robertson          Email:     membership@apcc.org.uk",NULL,1,1,CO,
21,Consultech Solutions Ltd,NULL,NULL,tweddz@icloud.com,0203 195 3828,0204 599 9533,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon    Consultech     How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:      Technology consultants, working within the managed print industry. Offering lease and service of print-based products (photocopiers / printers / wide format devices) and any print management related software which goes alongside this.  Name:  Amber Mynott   Email:   enquiries@consultech.org.uk",NULL,1,1,CO,
22,MAXTON HOLDINGS LTD,NULL,NULL,maxndongwe@maxtonhomes.co.uk,0203 195 3829,0204 599 9534,NULL,0,0,NULL,NULL,64209 (Activities of other holding companies n.e.c.),NULL,1,1,YCF,
23,Night Nannies Essex,NULL,NULL,nightnanniesessex@gmail.com,0203 195 3830,0204 599 9535,NULL,0,0,NULL,NULL,Greets: Good Morning /Afternoon:   NIGHT NANNIES ESSEX    How may I help    Action:,NULL,1,1,CO,
24,Laser Beam Eyes Ltd,NULL,NULL,pete@laserbeameyes.com,0203 195 3831,0204 599 9536,NULL,0,0,NULL,NULL,"Greet :    Good Morning/ afternoon    Laser Beam Eyes   How may I help you? Action:    All Directors are busy at present, I can take a message and get them to call back once they are free?Activity:     We design and make ToysName(s):    Peter  Rope  Email:         pete@laserbeameyes.com",NULL,1,1,CO,
